Customer_ID,Three_Year_Spend,Loyalty_Cust,Distance,Male,Age,Seg_Group,Seg_Type,Married,Length_of_Residence,Homeowner,Num_Adults,Num_Children,Est_Income,Occupation,Education,Home_Value,Political_Ideology,Pet_Owner,Truck_Owner,Total_Spend,Num_Trans,Num_Items,Num_Depts,Division_Ag_Spend,Division_Pet_Spend,Division_Auto_Spend,Division_Hardware_Spend,Division_Home_Spend,Division_Seasonal_Spend,Division_Clothing_Spend,Division_SportingGoods_Spend,Division_FoodBev_Spend
185157816,922.25999999999999,0,2.4653589778944451,1,75.0,B,Q64,1,36,1,2,,,Retired,Some College,,,,,49.23,1,5,2,.00,.00,39.24,.00,.00,.00,.00,9.99,.00
185266530,140.47,0,4.9868102964171293,1,90.0,B,Q62,,36,1,1,,,Sales,Graduate Degree,,,,,483.87,2,18,2,.00,.00,483.87,.00,.00,.00,.00,.00,.00
185238029,539.0,0,1.6333348474049882,0,63.0,B,J36,1,10,1,2,,,Professional,High School,,,,,21.75,1,5,2,.00,.00,.00,.00,.00,15.98,.00,.00,5.77
185200501,0.0,0,21.672867608410659,0,44.0,A,I30,1,22,1,5,1,,Other,Graduate Degree,,,,,42.11,1,5,2,.00,.00,.00,.00,.00,.00,37.50,.00,4.61
78980064,0.0,0,184.60942317453021,1,86.0,B,C13,1,52,1,3,1,,Professional,High School,,,,,29.70,2,12,2,.00,.00,.00,.00,.00,.00,.00,26.91,2.79
159939065,655.39999999999998,0,11.371323276495616,1,71.0,A,J35,,16,0,1,,,Management,Some College,,,,,22.66,1,4,2,.00,.00,17.29,5.37,.00,.00,.00,.00,.00
185331920,445.69,0,10.168995757065472,1,73.0,B,Q64,1,37,1,2,,,Retired,High School,,,,,122.30,1,10,4,.00,.00,.00,.00,11.48,74.94,29.99,.00,5.89
184985402,346.85000000000002,1,5.3719495765047558,0,87.0,B,Q64,,16,1,1,,,Retired,High School,,,,,125.14,4,30,5,.00,24.95,.00,.00,7.98,71.92,.00,.00,20.29
184841517,1548.9400000000001,0,5.3893364403205357,1,30.0,A,E21,1,30,1,2,,,Professional,High School,,,,,24.75,2,8,3,.00,.00,8.97,4.70,.00,.00,.00,.00,11.08
185237878,0.0,0,18.187526434751085,0,77.0,A,L43,,12,1,1,0,,Blue Collar,Less than High School,,,,,11.86,1,4,2,.00,.00,.00,.00,6.49,.00,.00,.00,5.37
185040934,945.53999999999996,1,4.4330838233165109,0,69.0,B,J34,1,28,1,3,,,Office Administration,High School,,,,,81.29,2,10,5,.00,.00,.00,4.88,.00,33.96,24.88,.00,17.57
185353434,72.989999999999995,0,24.151105590355822,0,77.0,B,J34,1,59,1,5,,,Retired,High School,,,,,6.76,1,6,1,.00,.00,.00,.00,.00,.00,.00,.00,6.76
185070284,182.06,0,13.103355042900873,1,61.0,A,L43,1,31,1,4,,,Management,High School,,,,,21.68,1,2,2,.00,.00,.00,.00,.00,.00,19.99,.00,1.69
185191675,217.05000000000001,1,14.930255875355147,0,80.0,A,J35,,11,1,2,,,Retired,High School,,,,,192.92,2,23,6,.00,14.99,44.89,17.07,25.98,.00,89.99,.00,.00
184972750,395.51999999999998,1,0.9950017397264217,1,71.0,B,Q64,0,59,1,1,0,,Retired,High School,,,,,81.05,2,17,7,51.21,.00,4.99,.00,1.00,14.48,3.99,.00,5.38
185145447,596.12,0,3.3045868346932337,0,70.0,B,J34,,42,1,1,,,Management,Graduate Degree,,,,,109.93,1,7,2,.00,65.97,.00,.00,.00,43.96,.00,.00,.00
185266631,165.97,0,15.94521783920259,1,68.0,A,E21,1,11,1,3,,,Retired,Some College,,,,,43.98,1,2,1,.00,.00,.00,.00,.00,43.98,.00,.00,.00
185070188,127.22,0,0.98781897399373408,0,67.0,B,Q64,1,31,1,2,,,Retired,Bachelors Degree,,,,,367.23,2,14,2,.00,.00,367.23,.00,.00,.00,.00,.00,.00
185200387,840.25,1,4.2195484383546304,1,70.0,B,J34,1,46,1,2,,,Retired,Some College,,,,,230.85,3,56,6,10.38,20.00,15.98,.00,.00,31.98,75.11,.00,77.40
185191502,0.0,0,18.609642780886322,1,50.0,C,A04,1,16,1,2,1,,Professional,Some College,,,,,37.32,1,8,4,.00,.00,9.36,14.97,.00,.00,.00,12.99,.00
185099015,4.2800000000000002,1,5.4570484775308818,0,65.0,A,L43,,25,1,1,,,Other,High School,,,,,18.61,2,10,2,.00,.00,.00,.00,1.59,.00,.00,.00,17.02
185099453,59.960000000000001,0,9.1389399839969432,1,77.0,A,I30,,29,1,5,1,,Other,High School,,,,,35.30,1,6,2,.00,24.43,.00,.00,10.87,.00,.00,.00,.00
184783369,53.859999999999999,0,4.5721088532898966,1,39.0,B,J34,1,41,1,5,,,Sales,Some College,,,,,129.51,2,9,5,.00,.00,.00,12.22,13.03,.00,101.48,.00,2.78
185070486,149.94999999999999,0,11.621491093266284,0,25.0,C,D15,,26,1,3,3,,Other,High School,,,,,143.00,1,11,5,1.99,9.99,.00,.00,.00,.00,128.93,.00,2.09
184799117,181.86000000000001,0,1.941424920450683,0,55.0,B,L42,1,10,1,3,,,Professional,Bachelors Degree,,,,,133.46,1,5,3,.00,.00,12.48,.00,1.00,.00,119.98,.00,.00
184783261,0.0,0,10.991544766818604,1,59.0,A,E21,1,1,1,2,,,Blue Collar,Some College,,,,,113.97,1,3,1,.00,.00,.00,.00,.00,.00,113.97,.00,.00
184783186,1196.79,0,13.058699930041922,0,69.0,B,J34,1,30,1,3,,,Retired,High School,,,,,11.69,1,1,1,.00,.00,.00,11.69,.00,.00,.00,.00,.00
185341982,211.88,1,1.8218392031333677,1,83.0,B,Q64,,31,1,1,,,Retired,High School,,,,,216.31,3,32,5,23.94,.00,.00,49.95,108.09,.00,20.98,.00,13.35
185070192,2621.71,1,5.8669958438760013,1,55.0,A,E21,1,9,1,2,,,Blue Collar,High School,,,,,129.73,2,8,8,12.99,3.00,.00,8.88,.00,.00,23.98,74.99,5.89
185099192,467.52999999999997,1,24.780973882884911,0,79.0,A,J35,,13,0,2,,,Retired,High School,,,,,107.20,2,10,4,.00,42.98,.00,6.99,53.45,.00,.00,.00,3.78
185070547,0.0,0,31.240369581484561,1,45.0,C,D15,1,13,1,3,1,,Management,Some College,,,,,9.79,1,1,1,.00,.00,.00,.00,9.79,.00,.00,.00,.00
185098914,2015.6199999999999,1,12.114783676392152,0,78.0,B,A02,1,33,1,2,,,Retired,High School,,,,,190.90,3,20,7,19.37,57.95,.00,30.57,12.99,11.89,.00,51.65,6.48
181972996,608.98000000000002,1,12.869945227336775,1,66.0,A,L43,,28,0,1,,,Retired,High School,,,,,134.60,2,22,6,.00,3.45,.00,.00,27.44,17.99,61.98,.00,23.74
185322285,679.94000000000005,1,6.3332747163598144,0,67.0,A,N46,1,10,1,3,,,Retired,High School,,,,,20.88,1,2,2,.00,.00,19.89,.00,.00,.00,.00,.00,.99
185341838,1520.1199999999999,0,1.3222402718757262,0,75.0,B,J36,1,25,1,2,,,Blue Collar,High School,,,,,28.97,1,3,2,13.98,.00,.00,.00,.00,.00,14.99,.00,.00
185256182,0.0,0,0.90472043914385403,1,67.0,G,Q65,,3,0,1,,,Retired,Graduate Degree,,,,,39.99,1,1,1,.00,.00,.00,.00,.00,.00,39.99,.00,.00
184901389,384.67000000000002,0,3.7541525819730897,1,55.0,C,A04,1,16,1,1,1,,Management,Some College,,,,,67.80,2,10,3,.00,.00,.00,38.97,6.79,.00,.00,.00,22.04
184783693,1467.03,0,1.342463227302475,0,67.0,C,B09,,17,1,2,,,Professional,Bachelors Degree,,,,,8.98,1,2,1,.00,.00,.00,8.98,.00,.00,.00,.00,.00
184841959,3171.4699999999998,0,9.5164215168663571,1,66.0,A,E21,1,29,1,2,,,Retired,High School,,,,,20.26,1,4,2,.00,18.47,.00,.00,.00,.00,.00,.00,1.79
169115642,1062.95,0,3.6240728756680674,1,68.0,D,I31,1,0,1,2,1,,Retired,Bachelors Degree,,,,,88.06,2,5,4,.00,10.99,.00,.00,.00,.00,49.99,24.99,2.09
185342615,327.88,0,5.9607848646534984,0,74.0,B,J34,,34,1,3,,,Management,Bachelors Degree,,,,,53.77,2,3,2,.00,.00,29.98,.00,23.79,.00,.00,.00,.00
185099559,1206.76,0,5.4255443587286658,1,62.0,A,E21,1,29,1,2,,,Retired,High School,,,,,86.11,2,13,7,.00,.00,.00,1.99,6.83,23.48,35.78,.00,18.03
184972563,2651.1599999999999,0,3.8569875048508213,0,52.0,D,I31,,25,1,2,1,,Other,High School,,,,,34.99,1,1,1,.00,.00,.00,.00,.00,.00,.00,34.99,.00
184879522,302.48000000000002,0,11.664797941084544,1,62.0,D,C14,1,21,1,2,1,,Sales,Some College,,,,,40.49,1,1,1,.00,.00,.00,40.49,.00,.00,.00,.00,.00
185191695,1283.3099999999999,0,21.451615518889071,0,70.0,C,D15,1,11,1,4,3,,Other,Some College,,,,,31.74,2,6,2,.00,.00,.00,.00,.00,.00,.00,12.99,18.75
185144970,1472.0899999999999,1,1.1114954319659982,1,84.0,B,J36,1,12,1,3,,,Blue Collar,Some College,,,,,11.78,1,2,1,.00,.00,.00,.00,.00,.00,.00,.00,11.78
184879509,0.0,0,7.4016782068776692,0,36.0,A,I30,,14,1,4,2,,Other,High School,,,,,151.95,1,5,2,.00,31.99,.00,.00,.00,.00,119.96,.00,.00
185099318,118.65000000000001,0,3.5344440492923601,1,39.0,G,G24,1,6,1,1,,,Technical,Bachelors Degree,,,,,12.98,1,2,1,.00,.00,.00,.00,.00,.00,.00,.00,12.98
184901452,972.97000000000003,0,18.46367131897199,0,62.0,A,I30,,52,1,4,2,,Office Administration,Some College,,,,,77.26,2,12,2,.00,.00,.00,.00,6.99,.00,.00,.00,70.27
185342498,1031.73,0,25.244519910912395,1,61.0,A,L43,,2,0,2,,,Technical,Bachelors Degree,,,,,130.66,1,19,5,.00,1.98,.00,.00,31.92,.00,88.22,.00,8.54
185070357,47.43,1,21.541520301489708,0,71.0,B,Q64,,52,0,2,,,Office Administration,High School,,,,,154.80,4,10,5,.00,.00,24.98,6.57,79.99,.00,34.99,.00,8.27
185041046,743.24000000000001,0,26.36276174427055,0,27.0,B,C11,,12,1,2,,,Office Administration,Some College,,,,,52.97,1,3,2,.00,27.98,.00,.00,24.99,.00,.00,.00,.00
184985878,213.27000000000001,0,23.666993574574082,1,43.0,A,I30,1,4,1,1,1,,Blue Collar,Some College,,,,,5.38,1,2,2,.00,.00,.00,.00,.00,4.88,.00,.00,.50
184985742,166.13999999999999,1,13.04194646842552,1,42.0,G,N49,1,19,1,1,,,Blue Collar,High School,,,,,849.25,6,53,9,.00,.00,676.86,4.99,37.39,.00,71.72,19.99,38.30
184783414,428.30000000000001,0,7.690946497566916,1,90.0,B,J34,1,32,1,4,,,Retired,Some College,,,,,98.07,2,14,5,.00,21.59,.00,35.37,39.32,.00,.00,.00,1.79
185099165,188.78999999999999,0,21.477284850555975,0,79.0,A,J35,,32,1,1,,,Retired,High School,,,,,10.98,1,2,1,.00,.00,.00,.00,10.98,.00,.00,.00,.00
185191559,1647.98,1,1.808933321140648,0,72.0,G,S68,,22,1,1,,,Blue Collar,High School,,,,,39.94,2,6,2,.00,8.98,.00,.00,.00,30.96,.00,.00,.00
185128825,21.48,0,8.610937415917336,1,24.0,A,I30,,3,1,3,2,,Technical,Some College,,,,,190.82,1,7,2,.00,.00,.00,.00,.00,.00,37.86,152.96,.00
184901201,1832.9100000000001,0,25.215985296227444,1,81.0,A,E21,,41,1,6,,,Management,Graduate Degree,,,,,82.24,1,17,7,4.97,13.49,9.68,.00,4.18,.00,18.87,.00,31.05
185266790,0.0,1,13.078514718278317,0,70.0,G,Q65,,2,0,1,,,Retired,High School,,,,,39.50,2,10,4,.00,9.48,.00,.00,7.38,9.99,.00,.00,12.65
185191216,498.51999999999998,0,35.709413007427685,1,75.0,A,J35,1,17,1,1,,,Retired,Bachelors Degree,,,,,13.27,1,3,1,.00,.00,.00,.00,.00,.00,.00,.00,13.27
185157463,53.130000000000003,0,25.101716631980793,1,65.0,A,I30,1,20,1,5,,,Management,Some College,,,,,54.98,1,2,2,.00,.00,.00,.00,.00,.00,54.98,.00,.00
185040750,27.469999999999999,0,14.840561827622087,0,56.0,D,C14,1,21,1,4,1,,Other,Some College,,,,,52.97,1,4,3,.00,.00,.00,51.97,.00,.00,.00,.00,1.00
185275397,973.60000000000002,1,2.0542819740614293,0,76.0,B,J36,,17,1,3,2,,Office Administration,High School,,,,,94.20,4,12,6,.00,9.99,.00,.00,1.99,.00,74.96,.00,7.26
184923388,24.989999999999998,0,10.790034830413074,0,53.0,A,E21,1,14,1,5,,,Office Administration,Some College,,,,,14.88,1,1,1,.00,.00,.00,.00,.00,14.88,.00,.00,.00
184923815,3025.3400000000001,0,24.268218096163469,1,54.0,B,A02,,18,1,4,,,Blue Collar,Some College,,,,,35.44,1,6,3,29.99,.00,.00,5.45,.00,.00,.00,.00,.00
185342166,1496.0799999999999,1,5.8127410112300613,0,60.0,A,E21,1,21,1,2,,,Other,High School,,,,,80.14,2,15,4,19.95,.00,.00,10.18,47.01,.00,.00,.00,3.00
185200568,844.92999999999995,0,5.3583345568878489,1,66.0,A,E21,1,10,0,3,,,Blue Collar,High School,,,,,192.55,1,5,3,.00,.00,.00,.00,.00,.00,188.97,.00,3.58
185191281,881.08000000000004,1,1.3859163725311374,0,47.0,G,M45,1,11,1,2,4,,Office Administration,High School,,,,,41.98,1,2,2,.00,.00,.00,6.99,.00,.00,.00,34.99,.00
184985415,304.42000000000002,0,21.032815589750179,0,62.0,A,E21,1,28,1,5,,,Management,Some College,,,,,27.99,1,1,1,.00,.00,.00,.00,.00,.00,27.99,.00,.00
185040541,48.960000000000001,1,6.8477512210292319,1,49.0,A,I30,1,6,1,1,,,Blue Collar,Some College,,,,,7.99,2,1,2,.00,.00,.00,.00,.00,.00,.00,7.99,.00
184901098,252.05000000000001,1,9.328125930037741,0,39.0,C,D15,1,4,1,2,1,,Other,Bachelors Degree,,,,,149.90,2,10,5,13.98,110.96,1.99,.00,7.98,.00,.00,14.99,.00
185275519,980.32000000000005,1,14.003535360243028,0,83.0,B,Q64,1,22,1,2,,,Retired,High School,,,,,190.57,2,42,8,58.70,.00,21.06,.00,3.99,2.49,64.97,.00,39.36
185342446,1503.6800000000001,0,12.170656219118476,0,29.0,A,M44,1,1,1,6,1,,Other,High School,,,,,104.97,2,3,1,.00,.00,.00,.00,.00,.00,104.97,.00,.00
184962230,0.0,0,20.106081477648996,0,53.0,A,L43,1,17,1,6,,,Office Administration,High School,,,,,39.97,1,3,2,.00,.00,1.99,.00,.00,.00,.00,37.98,.00
184933714,663.19000000000005,0,22.121722868816786,0,44.0,G,H29,1,15,1,2,,,Other,Some College,,,,,77.04,2,6,3,.00,.00,.00,15.06,.00,.00,61.98,.00,.00
185200391,3160.7800000000002,0,10.675209403849014,0,26.0,A,I30,,15,1,3,1,,Other,High School,,,,,315.95,1,5,2,15.96,.00,299.99,.00,.00,.00,.00,.00,.00
184901151,58.020000000000003,0,3.6505445592084627,0,34.0,B,J36,1,3,1,4,1,,Other,High School,,,,,14.93,1,7,3,.00,1.49,.00,.00,2.68,.00,.00,.00,10.76
184901360,497.56999999999999,0,2.9452515783596223,1,48.0,D,I31,1,19,1,2,1,,Blue Collar,Some College,,,,,59.98,2,2,1,.00,.00,.00,.00,.00,.00,59.98,.00,.00
185157633,130.91999999999999,0,26.718979156952351,0,41.0,D,B07,,49,1,6,,,Blue Collar,Bachelors Degree,,,,,41.98,1,2,1,.00,.00,.00,.00,.00,.00,41.98,.00,.00
184798533,1071.3699999999999,0,5.782874065680244,1,20.0,C,D15,1,23,1,3,4,,Professional,Bachelors Degree,,,,,12.97,1,4,2,.00,.00,.00,7.98,4.99,.00,.00,.00,.00
185322208,74.280000000000001,1,6.2637105549431711,0,86.0,G,Q65,,1,0,1,,,Retired,High School,,,,,8.57,1,3,1,.00,.00,.00,.00,.00,.00,.00,.00,8.57
184900486,1751.6500000000001,0,10.563710347222706,0,52.0,G,H27,1,32,1,1,,,Management,Some College,,,,,67.40,2,7,3,.00,33.72,.00,33.68,.00,.00,.00,.00,.00
185157265,0.0,0,18.71814466378515,0,38.0,A,I30,,15,1,3,2,,Other,Less than High School,,,,,81.54,1,6,3,18.58,29.98,.00,.00,.00,32.98,.00,.00,.00
185255982,184.75999999999999,1,8.6236990230322359,1,58.0,G,K40,,16,0,3,3,,Other,High School,,,,,43.96,1,4,1,.00,.00,.00,.00,.00,43.96,.00,.00,.00
185070423,1295.3699999999999,0,1.0779475556049076,0,78.0,G,K40,,3,0,1,,,Blue Collar,High School,,,,,54.61,1,9,3,.00,.00,.00,.00,20.07,.00,14.99,.00,19.55
82686046,4718.9499999999998,1,34.545295935376096,1,73.0,A,J35,1,20,1,4,,,Blue Collar,High School,,,,,541.26,1,69,10,332.59,31.97,49.94,60.68,35.72,4.49,.00,.00,25.87
